Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count
53403,0.056906938552856445,9,5,5600,1637,1242.0,622.2222222222222,1292.0,327.4,127172.5414165113,246.01569432515657,0.0043774568117581885,0.009275511216608565,0.03258991241455078,0.0,0.003039628267288208,0.005524753966623015,0.014003217220306396,0.02014008424708501,158.15294635188638,87.8627479732702,66.0,1292.0,516.9285714285714,551.9156851090462,304610.9234693878,0,0,0
60766,0.04504704475402832,1,1,126,54,126.0,126.0,54.0,54.0,3995.8226112913553,44.398029014348396,0.04504704475402832,0.0,0.04504704475402832,0.04504704475402832,0.0,0.0,0.0,0.0,22.199014507174198,22.199014507174198,54.0,126.0,90.0,36.0,1296.0,0,0,0
43261,0.006578922271728516,2,1,138,82,78.0,69.0,82.0,82.0,33440.12756396318,456.0017395085888,0.003289461135864258,0.0007205009460449219,0.00400996208190918,0.002568960189819336,0.006578922271728516,0.0,0.0,0.0,304.00115967239253,152.00057983619627,60.0,82.0,73.33333333333333,9.568466729604882,91.55555555555556,0,0,0
57621,0.0,1,0,86,0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,0.0,0.0,0,0,0
61744,0.0005011558532714844,2,0,133,0,89.0,66.5,0.0,0.0,265386.50428163656,3990.7745004757376,0.0005011558532714844,0.0,0.0005011558532714844,0.0005011558532714844,0.0005011558532714844,0.0,0.0,0.0,3990.7745004757376,0.0,44.0,89.0,66.5,22.5,506.25,0,0,0
443,0.6218400001525879,12,41,861,60762,125.0,71.75,2974.0,1482.0,99097.83864801054,85.2309275488788,0.011958461541395921,0.03632336564784345,0.17650794982910156,0.0,0.056530909104780716,0.07200362764917526,0.015482425689697266,0.04526114312818852,19.297568501632934,65.93335904724586,54.0,2974.0,1162.698113207547,926.3268013107624,858081.3428266287,0,0,0
443,0.0016360282897949219,1,1,55,66,55.0,55.0,66.0,66.0,73959.60128242495,1222.472748469834,0.0016360282897949219,0.0,0.0016360282897949219,0.0016360282897949219,0.0,0.0,0.0,0.0,611.236374234917,611.236374234917,55.0,66.0,60.5,5.5,30.25,0,0,0
443,1.1476569175720215,16,35,3860,61725,2414.0,241.25,8814.0,1763.5714285714287,57146.86941351024,44.43836761590337,0.02295313835144043,0.08546776325867467,0.5855798721313477,0.0,0.0765104611714681,0.1581061929305877,0.03370052926680621,0.10190249896406815,13.941448663812821,30.496918952090546,54.0,8814.0,1285.9803921568628,1699.1210817937385,2887012.4505959246,0,2,0
5353,0.11024808883666992,2,0,216,0,108.0,108.0,0.0,0.0,1959.2176361442343,18.14090403837254,0.11024808883666992,0.0,0.11024808883666992,0.11024808883666992,0.11024808883666992,0.0,0.0,0.0,18.14090403837254,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0
443,0.0015430450439453125,1,1,55,66,55.0,55.0,66.0,66.0,78416.37577255872,1296.1384425216315,0.0015430450439453125,0.0,0.0015430450439453125,0.0015430450439453125,0.0,0.0,0.0,0.0,648.0692212608158,648.0692212608158,55.0,66.0,60.5,5.5,30.25,0,0,0
5353,0.0,1,0,135,0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,135.0,0.0,0.0,0,0,0
5353,0.0,1,0,119,0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,119.0,0.0,0.0,0,0,0
5353,4.013437032699585,5,0,885,0,186.0,177.0,0.0,0.0,220.50925249092958,1.245814985824461,1.0033592581748962,0.012637594834151002,1.015207052230835,0.9840700626373291,1.0033592581748962,0.012637594834151002,0.0,0.0,1.245814985824461,0.0,171.0,186.0,177.0,7.3484692283495345,54.0,0,0,0
443,0.162506103515625,14,16,1543,7070,524.0,110.21428571428571,1514.0,441.875,53001.0861971831,184.60845070422536,0.005603658741918103,0.01541726957232319,0.07663512229919434,0.0,0.012500469501201924,0.024833154832359015,0.010718599955240885,0.020386498443181224,86.15061032863849,98.45784037558685,54.0,1514.0,287.1,448.4912745342248,201144.4233333334,2,2,0
49714,0.6728420257568359,46,0,2047,0,45.0,44.5,0.0,0.0,3042.3188826492574,68.36671646402826,0.014952045016818577,0.09549723107816864,0.6483080387115479,1.6927719116210938e-05,0.014952045016818577,0.09549723107816864,0.0,0.0,68.36671646402826,0.0,44.0,45.0,44.5,0.5,0.25,0,0,0
49710,0.6714439392089844,46,0,2047,0,45.0,44.5,0.0,0.0,3048.653626111411,68.50907024969463,0.014920976426866319,0.09532652746514962,0.6471400260925293,1.4781951904296875e-05,0.014920976426866319,0.09532652746514962,0.0,0.0,68.50907024969463,0.0,44.0,45.0,44.5,0.5,0.25,0,0,0
5353,0.0,1,0,119,0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,119.0,0.0,0.0,0,0,0
53,1.241292953491211,2,2,174,318,94.0,87.0,192.0,159.0,396.36090627616994,3.222446392489186,0.4137643178304036,0.5826649544800018,1.2377769947052002,0.0016870498657226562,1.2394640445709229,0.0,1.2396059036254883,0.0,1.611223196244593,1.611223196244593,80.0,192.0,123.0,43.18564576337837,1865.0,0,0,0
443,0.14141297340393066,3,5,2938,393,2681.0,979.3333333333334,153.0,78.6,23555.1231249863,56.571895827046056,0.020201853343418667,0.048186072588556166,0.13822603225708008,0.0,0.0700920820236206,0.07001197338104248,0.03499072790145874,0.059607148453670766,21.21446093514227,35.357434891903786,60.0,2681.0,416.375,856.9400412951888,734346.234375,0,0,0
443,0.0038671493530273438,1,1,55,66,55.0,55.0,66.0,66.0,31289.197533908755,517.1768187422934,0.0038671493530273438,0.0,0.0038671493530273438,0.0038671493530273438,0.0,0.0,0.0,0.0,258.5884093711467,258.5884093711467,55.0,66.0,60.5,5.5,30.25,0,0,0
57621,0.0,1,0,86,0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,0.0,0.0,0,0,0
67,0.0,1,0,346,0,346.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,346.0,346.0,0.0,0.0,0,0,0
57621,0.0,1,0,86,0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,0.0,0.0,0,0,0
5353,0.0,1,0,110,0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,0.0,0.0,0,0,0
5353,0.0,1,0,110,0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,0.0,0.0,0,0,0
5353,0.0,1,0,109,0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,109.0,0.0,0.0,0,0,0
